TransactionID,Timestamp,Amount,Currency,Channel,Location,CustomerID,AccountType,TxFrequency,FraudLabel
T007297,2025-06-20 19:38:52,114.01,EUR,Mobile,IN,C2723,Business,2,1
T006150,2025-06-17 17:56:41,94.28,EUR,Mobile,IN,C9701,Savings,3,0
T006106,2025-06-27 4:47:20,106.85,EUR,Mobile,IN,C3300,Business,1,0
T006975,2025-04-29 16:03:24,235.51,EUR,Online,IN,C1196,Business,5,0
T000534,2025-08-11 18:27:30,178.93,EUR,Online,SG,C3146,Savings,3,0
T003502,2025-06-02 13:23:04,79.8,EUR,Wire,US,C4836,Business,3,0
T006617,2025-04-10 23:38:35,434.05,EUR,ATM,IN,C7177,Savings,1,0
T005950,2025-06-04 3:31:55,33.11,EUR,Mobile,IN,C9023,CreditCard,2,1
T005565,2025-04-21 13:10:45,198.8,EUR,Online,IN,C2563,Savings,1,0
T007419,2025-08-19 19:59:05,79.17,EUR,Mobile,UK,C7290,Savings,0,0
T000281,2025-03-19 20:25:26,262.53,EUR,Mobile,SG,C3556,Business,3,0
T006278,2025-05-08 16:12:53,113.55,EUR,ATM,IN,C9517,Business,1,0
T006638,2025-05-31 21:50:03,363.45,EUR,Online,SG,C5364,Business,2,0
T001100,2025-03-09 19:11:27,70.03,EUR,Mobile,UK,C3141,Savings,1,0
T002182,2025-07-25 10:52:18,147.32,EUR,Mobile,IN,C1469,Business,3,1
T004308,2025-07-16 19:01:26,157.83,EUR,Online,IN,C8187,Savings,1,0
T007989,2025-03-26 4:43:08,66.38,EUR,POS,IN,C4632,Savings,3,1
T004047,2025-03-14 17:31:44,146.12,EUR,POS,IN,C2273,Savings,2,0
T007376,2025-04-25 1:14:17,116.04,EUR,Online,IN,C4401,CreditCard,2,0
T005281,2025-08-30 10:14:26,12.42,EUR,Mobile,SG,C8499,Savings,2,0
T006763,2025-07-11 10:53:51,17.5,EUR,Online,IN,C3028,Savings,1,0
T006218,2025-07-19 15:58:36,392.1,EUR,Online,US,C9287,Business,3,0
T002394,2025-07-31 23:46:04,248.36,EUR,Online,IN,C2395,Business,3,1
T009077,2025-05-19 22:05:00,302.12,EUR,Online,IN,C9874,Savings,2,1
T000564,2025-06-10 19:33:58,426.8,EUR,ATM,IN,C5134,Savings,0,0
T000073,2025-06-12 4:13:23,230.54,EUR,POS,IN,C3724,Savings,2,1
T000542,2025-03-19 2:58:39,93.61,EUR,Mobile,IN,C3094,Savings,1,1
T008842,2025-03-24 16:25:11,232.33,EUR,Wire,IN,C4203,Savings,2,0
T005950,2025-06-04 3:31:55,33.11,EUR,Mobile,IN,C9023,CreditCard,2,1
T005283,2025-04-29 10:40:17,30.7,EUR,POS,US,C1168,Savings,2,0
T006420,2025-06-21 4:59:35,242.64,EUR,Online,IN,C7852,CreditCard,5,0
T005140,2025-07-08 9:39:03,247.7,EUR,Mobile,SG,C2418,Savings,1,0
T009204,2025-05-06 6:10:25,499.28,EUR,Mobile,IN,C8810,Business,1,0
