TransactionID,Timestamp,Amount,Currency,Channel,Location,CustomerID,AccountType,TxFrequency,FraudLabel
T004205,2025-06-20 20:19:36,57.76,GBP,ATM,IN,C8452,Business,2,0
T005461,2025-07-09 12:11:34,619.26,GBP,Online,AE,C9776,Business,1,0
T000785,2025-04-16 1:01:46,95.43,GBP,Online,AE,C3962,Savings,1,0
T002302,2025-03-15 19:52:17,42.46,GBP,POS,US,C5481,Savings,1,0
T004524,2025-05-02 2:47:20,107.93,GBP,Online,IN,C7796,CreditCard,5,0
T007023,2025-08-02 5:30:35,433.94,GBP,POS,IN,C7784,CreditCard,5,0
T006098,2025-05-12 11:11:44,856.41,GBP,Online,IN,C5728,CreditCard,1,1
T007000,2025-07-01 19:12:29,119.65,GBP,Online,SG,C9007,CreditCard,4,0
T003775,2025-06-19 1:31:02,384.73,GBP,ATM,IN,C3814,Savings,2,0
T006429,2025-05-10 5:08:52,389.24,GBP,ATM,DE,C4416,Savings,0,0
T007183,2025-08-06 16:02:38,524.66,GBP,POS,IN,C1626,Savings,1,0
T000830,2025-04-23 9:24:44,259.22,GBP,POS,US,C6805,Business,3,0
T002733,2025-05-14 5:18:25,20.73,GBP,Online,SG,C8488,Business,2,1
T005523,2025-03-12 3:58:32,165.93,GBP,Mobile,SG,C8655,Business,1,0
T001707,2025-05-11 13:59:15,94.28,GBP,POS,UK,C8363,Savings,5,0
T007758,2025-06-24 3:42:57,21.09,GBP,Online,UK,C6545,CreditCard,0,1
T007895,2025-06-15 5:42:17,105.8,GBP,POS,US,C7043,Savings,5,0
T007133,2025-07-21 3:45:14,182.22,GBP,ATM,IN,C6812,Savings,2,0
T004807,2025-04-16 22:36:48,127.82,GBP,ATM,AE,C5680,Business,2,0
T008853,2025-03-28 6:28:17,69.31,GBP,ATM,IN,C8123,Business,3,0
T003608,2025-07-28 19:33:30,105.9,GBP,Online,DE,C4023,CreditCard,2,1
T000082,2025-08-25 2:36:14,221.87,GBP,POS,UK,C8184,Savings,3,0
T000868,2025-06-22 16:20:31,198.09,GBP,Online,US,C7290,Savings,0,0
T006898,2025-07-19 17:57:25,316.14,GBP,POS,US,C5304,Savings,2,0
T004648,2025-05-10 6:19:47,195.24,GBP,ATM,IN,C3421,Savings,1,0
T007704,2025-06-04 7:43:02,110.44,GBP,ATM,IN,C7597,Savings,3,1
T008347,2025-05-03 4:28:43,133.0,GBP,Mobile,UK,C7509,Business,2,1
T007289,2025-08-30 1:41:15,400.12,GBP,Online,IN,C7085,Business,5,1
T000083,2025-04-22 19:38:03,91.61,GBP,POS,IN,C7999,Savings,6,0
T002426,2025-04-15 12:41:41,2.83,GBP,Online,US,C5724,Business,3,1
T002541,2025-08-05 10:32:48,407.48,GBP,ATM,IN,C1916,CreditCard,1,0
T009375,2025-09-02 20:31:43,102.39,GBP,POS,IN,C5971,CreditCard,2,1
T004478,2025-07-26 5:19:49,6.6,GBP,Online,US,C5751,Savings,2,0
T000995,2025-03-23 19:02:39,558.34,GBP,Wire,SG,C7217,CreditCard,1,0
T005740,2025-07-31 14:53:56,269.21,GBP,Online,DE,C2666,Business,3,0
T007901,2025-07-24 21:37:30,426.13,GBP,Mobile,IN,C2064,Savings,1,1
T001730,2025-08-08 4:45:47,137.41,GBP,Mobile,UK,C1736,Savings,2,0
T006129,2025-04-27 10:49:11,400.31,GBP,Online,US,C8654,Savings,0,1
T005711,2025-04-11 15:26:01,37.46,GBP,Mobile,US,C9990,Savings,3,0
T000632,2025-07-17 5:02:11,242.89,GBP,POS,UK,C8157,Savings,0,0
T009185,2025-05-09 11:16:51,32.28,GBP,Online,IN,C1394,Savings,2,0
T001931,2025-08-22 23:34:30,122.31,GBP,Online,US,C1220,Savings,1,1
T005967,2025-08-26 7:43:34,372.42,GBP,Mobile,IN,C5571,Savings,2,0
T009281,2025-07-22 1:53:04,80.1,GBP,Mobile,US,C7141,Business,2,0
T003368,2025-09-02 8:19:30,233.89,GBP,Online,DE,C6564,Savings,0,0
T000076,2025-05-21 20:46:48,305.49,GBP,Online,SG,C4088,Business,1,0
T008709,2025-05-13 12:08:55,587.11,GBP,POS,IN,C2644,Savings,2,0
T008754,2025-07-22 23:00:01,10.73,GBP,Online,US,C6320,CreditCard,1,0
T009923,2025-04-02 14:30:25,50.1,GBP,POS,IN,C6076,Savings,4,1
T002148,2025-06-28 21:19:07,163.74,GBP,Mobile,DE,C2950,Business,2,0
T006438,2025-04-09 11:10:43,30.45,GBP,Online,IN,C8943,Business,3,0
T004915,2025-03-15 19:59:21,427.01,GBP,Mobile,SG,C9410,Savings,0,0
T001231,2025-04-14 8:36:11,36.83,GBP,ATM,IN,C7248,Savings,0,0
T003949,2025-04-21 21:16:34,402.13,GBP,Mobile,US,C2148,Business,1,0
T007694,2025-06-13 22:36:37,39.28,GBP,ATM,US,C4310,CreditCard,1,0
T009923,2025-04-02 14:30:25,50.1,GBP,POS,IN,C6076,Savings,4,0
T008921,2025-08-04 5:53:54,130.24,GBP,Mobile,IN,C5350,Business,3,0
T008182,2025-05-06 3:33:17,5.24,GBP,ATM,US,C8277,Savings,2,1
T005215,2025-06-07 10:38:44,70.84,GBP,ATM,IN,C7494,Savings,3,0
T004285,2025-05-15 6:05:05,121.92,GBP,POS,IN,C4773,CreditCard,1,0
T005208,2025-08-13 6:14:34,47.09,GBP,POS,IN,C6596,CreditCard,2,0
T007183,2025-08-06 16:02:38,524.66,GBP,POS,IN,C1626,Savings,1,0
T001081,2025-07-07 22:02:33,321.17,GBP,POS,IN,C7082,Savings,5,0
T002077,2025-07-24 1:12:50,218.4,GBP,ATM,IN,C1932,Savings,4,0
T008106,2025-08-28 0:29:10,500.29,GBP,ATM,IN,C4812,Business,3,0
T006345,2025-08-17 3:22:31,450.95,GBP,ATM,IN,C8612,Savings,1,0
T002968,2025-07-04 15:17:58,137.37,GBP,Mobile,IN,C8500,Savings,3,0
T002934,2025-05-08 4:48:44,592.92,GBP,POS,IN,C6106,Business,4,0
T008874,2025-08-30 5:54:34,184.63,GBP,POS,UK,C8142,Savings,2,1
T005019,2025-06-10 2:28:24,233.14,GBP,Online,IN,C1727,Business,2,0
T000595,2025-05-20 7:04:49,203.36,GBP,POS,SG,C9688,Savings,1,0
T004736,2025-04-07 23:13:31,86.97,GBP,Online,US,C2530,Business,1,0
T007520,2025-05-20 14:00:44,118.46,GBP,POS,US,C2418,Savings,2,0
T002935,2025-05-27 0:53:47,0.11,GBP,Online,IN,C4106,Savings,2,0
T001062,2025-04-29 10:12:28,300.59,GBP,ATM,US,C6909,Savings,3,0
T002281,2025-07-27 23:20:44,127.33,GBP,ATM,AE,C9386,Savings,3,1
T007454,2025-05-01 19:15:52,214.92,GBP,POS,IN,C8324,CreditCard,0,0
T005356,2025-07-22 12:29:21,380.48,GBP,POS,IN,C1192,Savings,2,0
T007955,2025-05-31 6:16:38,419.08,GBP,POS,IN,C2394,Business,2,1
T005809,2025-04-08 8:41:01,4.65,GBP,Online,IN,C1345,Savings,2,1
T007238,2025-07-03 15:47:05,278.87,GBP,POS,IN,C6539,Business,0,0
T004946,2025-07-30 15:45:43,117.65,GBP,Mobile,IN,C2816,Savings,2,1
T000393,2025-08-09 8:07:13,175.29,GBP,Online,SG,C9302,Business,6,0
T002765,2025-06-11 6:54:37,385.93,GBP,Online,UK,C2685,Savings,6,0
T004363,2025-05-16 18:38:29,324.22,GBP,ATM,US,C1919,CreditCard,2,0
T009415,2025-09-01 0:34:29,2.76,GBP,ATM,DE,C5118,Savings,0,0
T008182,2025-05-06 3:33:17,5.24,GBP,ATM,US,C8277,Savings,2,0
T000116,2025-05-30 4:28:20,421.35,GBP,Online,IN,C3464,Savings,4,0
T004955,2025-08-16 22:05:29,218.18,GBP,Online,IN,C8820,Savings,3,1
T001573,2025-03-16 3:42:31,217.67,GBP,Online,SG,C5432,Savings,0,0
T000270,2025-08-13 17:22:56,24.19,GBP,POS,SG,C7465,Savings,1,0
T002541,2025-08-05 10:32:48,407.48,GBP,ATM,IN,C1916,CreditCard,1,0
T006413,2025-05-19 11:16:40,410.67,GBP,Wire,UK,C5578,Savings,3,0
T000690,2025-06-09 13:59:38,735.54,GBP,POS,IN,C1929,Business,3,0
T004807,2025-04-16 22:36:48,127.82,GBP,ATM,AE,C5680,Business,2,0
T009110,2025-07-25 10:30:54,396.85,GBP,ATM,US,C1691,Savings,2,0
T006823,2025-04-15 13:03:02,49.2,GBP,ATM,US,C8969,Savings,2,0
T001838,2025-08-18 5:09:56,41.39,GBP,Mobile,IN,C4359,Savings,2,0
T002612,2025-03-07 22:05:23,430.62,GBP,Online,IN,C2120,CreditCard,0,0
T009796,2025-03-15 22:54:29,5.5,GBP,ATM,IN,C1211,Savings,3,0
T001551,2025-06-09 10:11:25,255.65,GBP,POS,IN,C5296,Savings,0,1
T000068,2025-05-30 18:22:01,21.18,GBP,ATM,IN,C5661,Savings,3,0
T004763,2025-05-31 22:32:51,493.4,GBP,ATM,UK,C6133,Savings,0,0
T002086,2025-04-12 20:39:46,697.66,GBP,Online,UK,C3124,Savings,1,0
T000728,2025-07-24 10:19:07,141.86,GBP,POS,IN,C8633,Savings,4,1
T002950,2025-07-22 22:27:40,97.53,GBP,Online,SG,C7398,Business,2,0
T007249,2025-06-21 4:21:16,174.85,GBP,Online,SG,C5563,Savings,2,0
T009930,2025-08-09 19:35:15,118.49,GBP,POS,AE,C8211,Savings,0,0
T009257,2025-07-10 1:16:27,52.12,GBP,Online,US,C6631,CreditCard,2,0
T003230,2025-06-07 0:53:06,185.3,GBP,Online,AE,C9130,Savings,0,0
T002158,2025-03-19 7:52:01,76.41,GBP,Mobile,IN,C6183,Business,2,0
T004860,2025-08-08 14:49:50,92.47,GBP,Online,IN,C6437,Savings,1,0
T001101,2025-08-29 16:15:23,452.16,GBP,Mobile,IN,C6022,Savings,1,0
T007219,2025-07-21 1:23:03,82.27,GBP,Online,IN,C4215,Savings,1,0
T004724,2025-06-15 15:13:19,210.75,GBP,POS,DE,C7205,Savings,2,0
T001365,2025-08-13 12:00:17,0.82,GBP,Online,AE,C9421,Savings,1,0
T008261,2025-08-29 20:20:03,41.32,GBP,POS,AE,C8453,CreditCard,0,1
T004026,2025-08-05 22:51:00,46.82,GBP,POS,IN,C9603,CreditCard,10,0
T004383,2025-08-19 17:57:13,211.91,GBP,Online,UK,C3828,Savings,2,0
T009459,2025-04-20 17:37:40,70.88,GBP,Online,US,C8370,CreditCard,0,1
T008741,2025-08-31 8:01:41,221.32,GBP,POS,IN,C9251,CreditCard,0,0
T009089,2025-04-07 14:17:23,36.72,GBP,POS,IN,C8524,Business,0,0
