TransactionID,Timestamp,Amount,Currency,Channel,Location,CustomerID,AccountType,TxFrequency,FraudLabel
T007220,2025-06-30 18:34:33,243.45,INR,POS,DE,C2201,Savings,1,0
T008003,2025-04-12 20:31:00,112.87,INR,Online,IN,C4519,Savings,4,0
T004456,2025-06-12 7:10:29,100.54,INR,Online,IN,C5388,CreditCard,1,0
T003088,2025-06-12 16:53:13,150.88,INR,ATM,US,C5337,Savings,3,1
T002818,2025-08-02 10:30:11,124.48,INR,Mobile,UK,C6985,CreditCard,2,0
T007655,2025-08-16 13:01:01,257.4,INR,POS,IN,C1700,Savings,1,1
T007420,2025-07-18 21:13:24,101.75,INR,Online,AE,C6030,Savings,4,0
T002034,2025-06-01 18:20:37,59.62,INR,Mobile,UK,C9426,Savings,0,0
T001841,2025-07-02 1:44:41,31.03,INR,POS,IN,C1780,Savings,2,0
T007129,2025-04-01 15:38:30,103.15,INR,Mobile,US,C6127,Business,1,0
T001167,2025-08-02 5:05:11,4.73,INR,Online,US,C2628,CreditCard,1,0
T003362,2025-07-24 12:21:23,816.79,INR,Online,US,C1722,Savings,1,0
T005972,2025-07-17 21:18:35,90.34,INR,Online,IN,C3248,Savings,1,0
T008371,2025-07-24 7:23:45,168.01,INR,POS,IN,C2778,CreditCard,1,0
T006852,2025-08-18 4:00:28,8.9,INR,POS,UK,C8643,CreditCard,2,1
T003464,2025-07-11 23:40:37,141.14,INR,Mobile,IN,C9387,Business,2,0
T000231,2025-05-25 3:00:58,743.21,INR,Online,DE,C6336,Savings,3,0
T005153,2025-05-04 7:04:21,134.68,INR,ATM,IN,C9053,Business,5,1
T000565,2025-08-09 19:03:49,625.91,INR,POS,IN,C7645,Savings,4,0
T003104,2025-07-14 6:41:31,250.35,INR,Mobile,US,C8322,CreditCard,3,0
T005940,2025-07-18 20:46:05,16.69,INR,Online,IN,C1739,Savings,2,0
T006194,2025-08-29 15:34:14,47.22,INR,POS,SG,C9484,Savings,2,1
T007460,2025-05-14 8:20:30,42.45,INR,POS,US,C1868,Business,1,0
T003626,2025-08-07 3:21:27,194.52,INR,Online,UK,C5490,CreditCard,0,0
T002530,2025-07-23 20:45:42,27.17,INR,POS,US,C1548,Savings,3,0
T008509,2025-04-29 4:01:39,176.35,INR,ATM,US,C5462,Savings,2,0
T004766,2025-04-07 2:18:07,7.41,INR,Online,AE,C3549,Savings,2,0
T005866,2025-06-04 6:46:02,18.97,INR,ATM,US,C8350,Savings,1,0
T009433,2025-06-01 20:13:53,136.46,INR,POS,SG,C4531,CreditCard,5,1
T005947,2025-08-01 12:11:28,269.29,INR,POS,IN,C6036,Business,3,1
T000508,2025-08-07 23:41:48,17.16,INR,Wire,IN,C8367,Business,1,0
T006930,2025-05-26 9:52:49,228.36,INR,Mobile,IN,C3044,Savings,2,0
T004610,2025-05-05 23:27:46,116.78,INR,POS,US,C3962,Business,0,0
T008364,2025-08-10 19:52:46,52.8,INR,Online,UK,C4748,Savings,2,0
T007383,2025-07-04 17:52:08,524.94,INR,Mobile,US,C4367,Savings,6,0
T007446,2025-05-09 23:17:48,417.68,INR,Online,IN,C6036,Savings,0,1
T007849,2025-08-13 1:29:27,70.3,INR,Online,IN,C4923,Savings,0,0
T006818,2025-03-22 14:44:03,523.23,INR,Mobile,IN,C7251,Savings,4,0
T009435,2025-07-21 15:49:38,126.98,INR,Online,IN,C7005,Savings,1,1
T009036,2025-06-15 10:35:56,440.53,INR,Wire,SG,C8764,Business,0,0
T003721,2025-05-24 8:23:23,66.7,INR,Mobile,IN,C3537,Savings,2,0
T007458,2025-05-26 9:36:46,19.18,INR,Mobile,IN,C5417,Savings,4,0
T004517,2025-03-25 20:42:51,245.42,INR,POS,IN,C5657,Business,2,0
T006930,2025-05-26 9:52:49,228.36,INR,Mobile,IN,C3044,Savings,2,0
T006347,2025-07-14 14:16:07,74.56,INR,ATM,IN,C9075,Savings,2,1
T004206,2025-07-01 21:09:53,28.45,INR,POS,SG,C7602,Savings,1,0
T006532,2025-04-07 12:19:26,14.33,INR,Mobile,IN,C4010,Business,2,1
T006158,2025-05-18 20:01:42,24.06,INR,Online,US,C5299,Savings,2,0
T008040,2025-05-27 21:01:02,219.11,INR,ATM,SG,C8051,Business,3,0
T007020,2025-04-09 6:39:29,31.46,INR,POS,IN,C8086,CreditCard,4,0
T005151,2025-08-03 6:41:08,306.6,INR,ATM,IN,C2938,Savings,1,0
T008487,2025-08-29 22:36:36,213.99,INR,Online,IN,C4681,Savings,2,1
T001937,2025-03-11 17:40:41,75.05,INR,ATM,US,C2434,Savings,1,0
T004452,2025-03-18 3:23:11,158.56,INR,POS,UK,C8971,Savings,2,0
T002982,2025-03-23 22:37:35,383.32,INR,ATM,UK,C1948,Savings,0,1
T006016,2025-06-13 10:18:00,27.64,INR,POS,IN,C6957,Savings,1,0
T007307,2025-04-27 9:26:32,71.34,INR,ATM,US,C4011,CreditCard,4,1
T000035,2025-05-06 6:20:33,133.92,INR,ATM,IN,C2014,CreditCard,4,0
T007779,2025-07-05 11:55:44,277.6,INR,POS,US,C9643,Savings,3,0
T009397,2025-06-15 0:46:12,536.03,INR,Online,SG,C1575,Savings,1,0
T006055,2025-04-25 10:17:23,333.35,INR,Mobile,IN,C6746,CreditCard,0,0
T009075,2025-08-28 2:50:49,6.34,INR,Mobile,US,C5209,Savings,2,0
T002076,2025-05-29 15:53:35,140.77,INR,Wire,SG,C5157,Savings,1,0
T003527,2025-07-27 19:51:21,26.6,INR,Online,IN,C3240,Business,1,1
T003406,2025-08-16 12:47:59,372.69,INR,Mobile,IN,C7014,CreditCard,4,0
T003385,2025-06-14 3:52:25,760.4,INR,Online,IN,C6329,CreditCard,1,0
T006242,2025-06-11 11:22:35,173.22,INR,Online,US,C3900,Business,0,0
T000796,2025-07-05 8:38:51,394.43,INR,Mobile,IN,C3748,Business,7,0
T004389,2025-05-31 20:37:16,148.0,INR,Mobile,US,C4819,Business,1,0
T005861,2025-08-24 18:01:42,466.96,INR,Online,UK,C8350,Savings,0,0
T009041,2025-06-06 17:22:46,139.97,INR,Mobile,IN,C5904,CreditCard,1,0
T007106,2025-07-26 5:03:07,270.7,INR,POS,IN,C8646,Business,0,1
T003533,2025-08-28 5:25:48,95.5,INR,ATM,IN,C4079,Savings,3,0
T009418,2025-06-08 2:19:12,1103.69,INR,Mobile,IN,C1824,Savings,3,1
T009994,2025-04-05 11:42:47,291.05,INR,Wire,IN,C7409,Savings,1,0
T007511,2025-04-24 18:41:14,60.28,INR,ATM,IN,C8396,Savings,2,0
T009729,2025-04-02 15:01:41,414.33,INR,POS,IN,C8610,Business,1,0
T004202,2025-04-18 8:37:07,280.59,INR,Mobile,AE,C9376,CreditCard,4,0
T009401,2025-04-04 3:09:09,380.06,INR,ATM,US,C8120,CreditCard,2,0
T004475,2025-08-02 16:43:59,323.67,INR,Online,IN,C8137,Business,2,0
T009488,2025-06-26 11:33:55,77.14,INR,ATM,US,C2597,Business,3,0
T002768,2025-04-05 13:57:50,812.83,INR,Online,IN,C2523,Savings,5,0
T006180,2025-07-11 18:42:36,498.51,INR,Wire,US,C1204,Savings,1,0
T007865,2025-06-21 9:39:26,37.51,INR,ATM,IN,C2095,Savings,0,0
T008330,2025-08-28 19:24:37,467.85,INR,Mobile,IN,C9980,Savings,3,0
T001536,2025-04-25 19:50:19,64.06,INR,Mobile,IN,C3567,Savings,2,0
T007803,2025-06-30 4:35:51,1157.56,INR,POS,US,C6206,Savings,1,1
T009434,2025-05-12 12:40:21,104.07,INR,Online,IN,C9861,Savings,2,0
T004235,2025-03-29 19:41:16,16.14,INR,POS,IN,C8450,CreditCard,3,0
T008593,2025-04-12 14:58:58,25.94,INR,ATM,IN,C9997,Savings,0,0
T007838,2025-05-22 9:58:48,304.6,INR,Online,US,C2848,Savings,1,0
T006322,2025-04-14 11:35:49,17.5,INR,Mobile,AE,C6556,Savings,1,1
T003003,2025-08-01 1:57:03,169.36,INR,Mobile,AE,C6594,CreditCard,6,0
T002802,2025-06-10 23:39:36,174.73,INR,POS,IN,C8466,CreditCard,3,0
T003971,2025-04-24 14:00:01,379.79,INR,POS,SG,C3063,Business,2,0
T002378,2025-07-30 18:17:43,164.09,INR,Wire,IN,C8577,Savings,1,1
T002978,2025-07-24 21:56:08,34.99,INR,Mobile,IN,C3183,Savings,4,0
T002976,2025-04-16 1:51:02,27.38,INR,Mobile,IN,C7521,Business,4,1
T009085,2025-07-18 10:18:46,63.96,INR,Online,US,C1522,Savings,0,0
T009693,2025-08-05 22:54:45,261.03,INR,Online,SG,C7920,Savings,2,0
T009835,2025-06-26 21:44:10,15.66,INR,ATM,IN,C8091,Business,4,0
T008390,2025-05-21 1:01:43,698.07,INR,Online,IN,C2871,Savings,4,0
T002653,2025-08-17 2:18:17,336.98,INR,ATM,IN,C6372,Savings,6,0
T008785,2025-04-08 10:46:32,128.72,INR,Online,IN,C4807,CreditCard,3,1
T009875,2025-04-07 0:23:51,482.36,INR,POS,US,C9240,Savings,3,0
T009312,2025-03-21 20:40:46,118.33,INR,POS,IN,C1857,Savings,4,0
T000663,2025-06-05 22:05:54,394.21,INR,POS,US,C9137,Savings,3,0
T004176,2025-07-16 5:54:11,145.68,INR,Online,US,C7590,Business,3,1
T009794,2025-06-24 10:37:36,547.01,INR,ATM,IN,C5571,Savings,4,0
T003403,2025-08-14 20:14:53,233.13,INR,Online,US,C5394,Savings,0,1
T007820,2025-06-05 12:41:48,860.87,INR,POS,US,C5385,Savings,2,0
T000761,2025-07-26 10:02:46,1127.94,INR,ATM,UK,C2118,CreditCard,1,1
T009600,2025-08-18 13:54:24,123.32,INR,Mobile,IN,C4750,Savings,1,0
T008579,2025-06-01 21:17:53,31.3,INR,Wire,UK,C3576,CreditCard,1,1
T002896,2025-07-22 1:31:03,133.88,INR,ATM,IN,C5936,Business,1,0
T001680,2025-03-24 3:48:52,126.1,INR,Mobile,IN,C5346,Savings,2,0
T009186,2025-06-26 23:54:16,210.52,INR,ATM,US,C2746,Savings,1,0
T007206,2025-08-13 5:45:19,639.3,INR,Mobile,IN,C6702,Savings,2,0
T008548,2025-03-28 14:32:19,229.11,INR,Online,AE,C8950,Savings,2,0
T008183,2025-06-23 13:38:29,215.72,INR,Online,UK,C7010,Savings,3,0
T002180,2025-05-23 4:52:48,111.56,INR,ATM,US,C9915,Savings,2,0
T008922,2025-07-28 18:02:51,255.08,INR,Online,IN,C7013,Business,0,0
T002122,2025-07-22 22:19:55,226.09,INR,Mobile,IN,C6835,Savings,3,0
T000648,2025-06-02 4:40:51,239.02,INR,ATM,US,C5207,Savings,0,0
T004003,2025-08-04 13:46:41,193.25,INR,Online,IN,C4474,Savings,1,1
T008982,2025-05-17 1:13:53,138.16,INR,Mobile,SG,C3715,Savings,2,0
T002702,2025-03-13 18:26:54,70.47,INR,POS,DE,C1478,Business,1,0
T000840,2025-06-25 21:16:20,262.11,INR,Mobile,US,C4150,Business,1,0
T002352,2025-06-04 8:16:41,10.75,INR,Mobile,US,C4970,CreditCard,0,1
T009545,2025-04-01 18:45:50,33.77,INR,Online,IN,C2090,Savings,2,0
T007127,2025-08-15 2:56:52,284.18,INR,Online,IN,C2219,CreditCard,4,0
T003136,2025-05-07 1:23:08,267.19,INR,ATM,SG,C6910,CreditCard,3,1
T005479,2025-08-25 18:46:33,497.2,INR,ATM,US,C8971,Savings,2,1
T003311,2025-07-05 5:49:39,70.81,INR,Mobile,IN,C4881,Business,1,0
T009673,2025-03-27 15:25:09,121.46,INR,Online,IN,C4966,Savings,0,1
T006208,2025-06-01 23:21:23,35.36,INR,Mobile,US,C9864,Savings,5,0
T002422,2025-07-02 23:20:44,461.56,INR,Online,IN,C8334,Savings,5,0
T001033,2025-03-10 8:36:20,260.62,INR,ATM,IN,C2939,Business,4,0
T000058,2025-05-23 4:33:42,0.13,INR,Mobile,IN,C1527,CreditCard,1,1
T006895,2025-07-13 23:43:56,75.37,INR,POS,UK,C7532,Savings,2,0
T003405,2025-04-14 6:14:29,67.79,INR,Wire,IN,C9048,Savings,3,0
T009768,2025-07-31 13:06:48,316.75,INR,Online,US,C5767,Savings,3,0
