TransactionID,Timestamp,Amount,Currency,Channel,Location,CustomerID,AccountType,TxFrequency,FraudLabel
T007305,2025-08-15 5:27:33,179.86,USD,ATM,IN,C3606,Savings,3,1
T008827,2025-05-18 8:54:57,10.8,USD,ATM,IN,C2484,Business,1,0
T001922,2025-09-01 7:57:17,174.57,USD,Mobile,SG,C7177,Savings,2,0
T009656,2025-05-08 12:48:10,204.71,USD,ATM,US,C3988,Savings,2,1
T008596,2025-04-13 11:45:39,8.31,USD,ATM,IN,C1404,Savings,1,0
T004332,2025-06-15 14:14:37,184.91,USD,POS,IN,C8085,Savings,2,1
T000031,2025-04-08 17:05:37,442.17,USD,Online,UK,C5806,CreditCard,5,1
T000379,2025-05-14 23:32:43,19.32,USD,Online,IN,C7085,Savings,1,0
T003455,2025-04-28 2:45:21,427.34,USD,Mobile,IN,C4138,Savings,1,1
T009218,2025-08-26 19:27:17,50.17,USD,POS,US,C3832,Savings,1,0
T005955,2025-04-17 18:02:47,395.73,USD,Online,IN,C4407,Business,1,0
T007896,2025-07-25 8:06:23,160.78,USD,Online,AE,C9063,Business,1,0
T004529,2025-03-21 20:15:31,186.57,USD,POS,US,C9712,Business,2,0
T007811,2025-05-14 12:19:29,48.07,USD,Mobile,IN,C2232,Savings,4,0
T002459,2025-06-16 21:13:05,34.42,USD,POS,IN,C3844,Savings,1,1
T005363,2025-05-17 7:49:56,59.71,USD,Mobile,IN,C7170,Savings,3,0
T005768,2025-05-11 10:36:20,35.15,USD,Mobile,IN,C3166,Savings,4,0
T002211,2025-03-22 8:02:04,61.46,USD,POS,UK,C7174,CreditCard,2,0
T009259,2025-03-13 14:59:06,329.38,USD,Wire,IN,C5639,Savings,1,0
T003792,2025-03-21 6:40:54,493.89,USD,Online,AE,C8772,Savings,1,0
T006313,2025-06-07 16:37:50,484.98,USD,ATM,US,C8416,Savings,1,0
T003922,2025-08-29 13:05:04,658.59,USD,Mobile,SG,C5801,Business,3,0
T002072,2025-08-19 4:28:41,204.06,USD,ATM,IN,C6018,Savings,3,1
T008152,2025-05-16 12:49:15,224.97,USD,ATM,IN,C9328,Savings,1,0
T007027,2025-08-10 22:39:26,120.09,USD,Mobile,US,C6417,Business,2,0
T003957,2025-06-23 4:58:54,371.97,USD,POS,IN,C2082,Business,3,0
T002230,2025-03-08 10:13:41,28.75,USD,Online,AE,C1771,Savings,0,1
T006379,2025-05-29 15:23:06,201.47,USD,POS,IN,C9130,Business,2,0
T001964,2025-03-16 3:46:24,387.33,USD,Online,IN,C4173,CreditCard,1,0
T000350,2025-06-21 1:51:11,161.22,USD,ATM,IN,C7435,Savings,4,0
T002263,2025-03-28 6:31:52,445.82,USD,Online,IN,C5334,CreditCard,3,0
T002794,2025-04-16 16:17:29,216.34,USD,POS,DE,C3885,Savings,0,0
T005878,2025-07-27 23:16:56,57.45,USD,Online,IN,C1225,Business,3,0
T000780,2025-08-02 6:08:41,50.29,USD,POS,IN,C3804,CreditCard,3,0
T006034,2025-05-12 1:40:09,139.16,USD,Online,IN,C9421,Savings,1,1
T000910,2025-03-08 8:37:38,207.87,USD,Online,AE,C3835,Business,2,0
T002137,2025-04-03 6:13:08,281.83,USD,Mobile,SG,C3546,Business,1,0
T008168,2025-04-14 12:22:30,13.87,USD,Online,IN,C8183,Savings,2,0
T008066,2025-07-07 21:07:04,62.61,USD,Online,IN,C8535,Savings,1,0
T004140,2025-08-28 22:44:19,394.2,USD,Mobile,US,C6888,Savings,1,0
T008924,2025-06-13 13:46:05,6.29,USD,Mobile,IN,C6809,Business,2,0
T006115,2025-06-05 15:41:32,183.78,USD,ATM,IN,C4544,Savings,1,0
T009791,2025-04-18 7:05:13,95.44,USD,POS,IN,C4730,Savings,1,0
T006988,2025-05-05 6:26:52,221.7,USD,ATM,IN,C9565,Savings,3,0
T002569,2025-07-07 2:19:51,341.03,USD,Wire,UK,C8774,Savings,3,0
T000646,2025-05-26 19:17:58,114.48,USD,Online,US,C6824,Business,7,0
T006027,2025-05-04 5:53:43,9.45,USD,POS,IN,C3757,Savings,4,0
T009442,2025-06-29 1:49:37,538.94,USD,ATM,IN,C4512,Savings,3,1
T006928,2025-08-20 21:00:15,35.59,USD,ATM,US,C2510,Business,1,1
T000048,2025-07-17 4:32:26,189.64,USD,ATM,SG,C6810,Business,1,0
T002104,2025-08-14 2:19:52,147.61,USD,POS,IN,C3000,Savings,2,1
T006200,2025-04-08 9:45:28,75.32,USD,ATM,IN,C5265,Savings,0,1
T004733,2025-03-22 16:09:27,125.12,USD,POS,UK,C3254,Savings,3,0
T009869,2025-04-22 0:04:04,244.34,USD,Mobile,IN,C5285,Business,2,0
T008076,2025-07-21 11:12:46,122.36,USD,POS,IN,C7866,Savings,2,0
T005072,2025-06-08 20:10:37,94.17,USD,POS,IN,C9697,Savings,3,1
T008374,2025-04-24 22:20:31,133.51,USD,Online,IN,C9162,Savings,2,0
T007403,2025-04-29 3:11:45,271.87,USD,POS,US,C1505,Business,1,0
T005165,2025-04-19 21:44:08,31.58,USD,Mobile,US,C7496,Business,4,0
T009172,2025-07-30 6:07:18,428.4,USD,Online,IN,C4066,Savings,5,0
T001883,2025-03-13 11:56:43,7.38,USD,Mobile,SG,C3731,Savings,4,0
T007305,2025-08-15 5:27:33,179.86,USD,ATM,IN,C3606,Savings,3,1
T007831,2025-03-29 10:07:06,210.8,USD,ATM,US,C1867,Savings,1,0
T008088,2025-03-23 9:00:38,39.97,USD,Mobile,IN,C4269,CreditCard,1,1
T002344,2025-06-05 13:07:00,13.63,USD,ATM,IN,C7333,Savings,6,0
T008385,2025-08-27 14:31:31,280.1,USD,Online,IN,C6099,CreditCard,4,0
T005775,2025-08-06 10:00:33,501.33,USD,Online,US,C2900,CreditCard,2,0
T007195,2025-06-20 13:35:58,330.4,USD,ATM,IN,C3469,Savings,2,0
T003078,2025-04-29 6:50:55,82.69,USD,Mobile,UK,C2752,CreditCard,1,0
T001974,2025-04-25 6:02:38,27.37,USD,Mobile,IN,C7250,Savings,2,0
T001314,2025-05-27 16:47:48,239.35,USD,ATM,US,C6336,Savings,1,0
T003984,2025-04-13 22:43:07,449.34,USD,Online,IN,C2665,Savings,2,0
T007295,2025-04-06 7:37:54,420.56,USD,ATM,US,C6183,Savings,3,0
T005989,2025-07-19 7:50:20,331.43,USD,Mobile,US,C9848,Savings,2,0
T007278,2025-05-20 9:16:58,12.94,USD,Mobile,IN,C4004,Savings,6,0
T001504,2025-05-10 9:25:58,140.23,USD,Online,IN,C2525,Business,2,1
T000652,2025-06-14 16:15:53,30.92,USD,Mobile,DE,C5845,Savings,7,0
T006686,2025-07-25 0:59:21,0.15,USD,ATM,US,C8620,Business,3,1
T003581,2025-08-28 12:23:54,285.44,USD,Wire,IN,C2674,Savings,5,0
T009469,2025-05-14 3:24:54,10.34,USD,Wire,UK,C2837,Savings,0,0
T004471,2025-08-18 22:07:26,105.49,USD,Wire,SG,C2525,Savings,0,1
T007242,2025-03-29 0:35:01,361.21,USD,ATM,US,C2056,Savings,1,0
T008438,2025-08-25 7:40:01,176.09,USD,ATM,SG,C6249,Savings,0,0
T001883,2025-03-13 11:56:43,7.38,USD,Mobile,SG,C3731,Savings,4,0
T009656,2025-05-08 12:48:10,204.71,USD,ATM,US,C3988,Savings,2,0
T001932,2025-08-09 0:14:51,204.2,USD,ATM,AE,C3409,Savings,2,0
T006686,2025-07-25 0:59:21,0.15,USD,ATM,US,C8620,Business,3,0
T001901,2025-04-17 3:59:40,41.19,USD,ATM,AE,C6734,Business,3,0
T000504,2025-07-25 7:40:50,365.56,USD,POS,IN,C4057,Savings,5,0
T001475,2025-03-17 3:34:27,13.34,USD,POS,IN,C2940,Savings,1,1
T003726,2025-07-31 8:08:31,72.92,USD,Online,SG,C8398,Savings,2,0
T000910,2025-03-08 8:37:38,207.87,USD,Online,AE,C3835,Business,2,0
T003249,2025-08-08 6:09:51,286.75,USD,Online,IN,C2493,Business,2,0
T007403,2025-04-29 3:11:45,271.87,USD,POS,US,C1505,Business,1,1
T002303,2025-06-01 21:59:03,98.13,USD,Mobile,IN,C3032,Savings,2,0
T004434,2025-03-20 1:42:49,649.52,USD,Mobile,SG,C6430,Savings,1,1
T003655,2025-05-15 2:58:12,63.43,USD,ATM,SG,C9476,Business,6,0
T007960,2025-08-16 17:01:18,37.31,USD,ATM,US,C5128,Savings,3,1
T004913,2025-04-22 23:15:50,162.27,USD,Online,US,C4069,CreditCard,0,0
T004584,2025-06-22 4:23:03,469.79,USD,Mobile,US,C9029,Savings,0,1
T009152,2025-05-29 9:11:51,70.26,USD,Online,SG,C8633,Business,1,0
T009223,2025-07-07 16:13:23,193.36,USD,Mobile,IN,C4701,Savings,4,1
T008160,2025-07-21 0:00:39,840.1,USD,POS,UK,C8510,Savings,1,1
T004074,2025-06-04 15:20:37,41.54,USD,Online,IN,C3272,Business,1,0
T006095,2025-03-31 3:00:09,78.76,USD,Online,IN,C1317,Savings,1,0
T003664,2025-07-23 21:56:37,1.62,USD,POS,UK,C5490,Business,3,0
T002979,2025-07-24 14:52:20,32.96,USD,Mobile,IN,C1554,Savings,0,0
T002634,2025-07-26 2:10:10,30.79,USD,POS,UK,C4991,Business,3,0
T005977,2025-05-02 9:05:00,180.07,USD,Mobile,UK,C9013,Savings,2,0
T001403,2025-06-22 17:06:58,133.21,USD,POS,AE,C3314,Business,0,0
T003683,2025-07-31 22:37:43,470.4,USD,Mobile,US,C3367,Savings,1,1
