TransactionID,Timestamp,Amount,Currency,Channel,Location,CustomerID,AccountType,TxFrequency,FraudLabel
T004212,2025-08-11 4:57:39,89.48,INR,Online,SG,C3452,Savings,1,0
T001786,2025-05-02 11:07:41,897.66,USD,Online,US,C6747,Savings,0,0
T003050,2025-05-30 22:45:23,562.54,USD,ATM,DE,C2783,Savings,1,0
T002009,2025-04-24 8:25:10,404.62,GBP,POS,SG,C5501,Savings,1,0
T009953,2025-06-17 21:00:22,535.51,GBP,Mobile,SG,C8191,Savings,1,0
T009070,2025-06-27 12:10:45,31.36,EUR,ATM,IN,C8491,CreditCard,5,0
T001495,2025-07-16 14:05:27,34.41,INR,ATM,IN,C5834,Savings,4,0
T009605,2025-05-21 12:00:28,226.36,INR,POS,IN,C3178,Savings,3,0
T005004,2025-04-05 21:05:57,45.94,INR,Online,AE,C9264,Business,1,0
T005022,2025-03-08 15:12:04,447.51,INR,Online,US,C9772,Savings,1,0
T002004,2025-08-21 19:11:36,60.01,INR,POS,IN,C3949,CreditCard,2,0
T000615,2025-06-25 15:01:33,24.07,EUR,ATM,SG,C6560,Savings,2,0
T002873,2025-08-01 2:06:38,61.31,USD,Online,DE,C6870,Business,2,0
T009972,2025-06-09 22:49:45,62.97,GBP,Mobile,IN,C6051,Savings,2,0
T003574,2025-06-23 18:43:54,58.45,GBP,Online,DE,C5042,CreditCard,3,0
T005780,2025-05-25 3:00:04,282.12,INR,Online,US,C6607,Savings,1,0
T008462,2025-05-21 1:41:49,13.07,INR,Wire,IN,C1695,Business,2,0
T006845,2025-03-25 16:56:14,194.86,INR,POS,AE,C8624,CreditCard,6,0
T009433,2025-06-01 20:13:53,136.46,INR,POS,SG,C4531,CreditCard,5,0
T006746,2025-03-28 22:50:23,125.16,INR,Online,SG,C6638,Savings,3,0
T007731,2025-05-07 5:54:51,71.98,INR,ATM,SG,C8294,Savings,1,0
T000246,2025-03-18 16:11:08,145.98,INR,Mobile,AE,C1143,Savings,1,0
T003916,2025-06-18 12:26:27,569.22,INR,POS,UK,C3630,Business,0,0
T001057,2025-06-16 6:37:17,53.01,INR,Mobile,IN,C7847,Savings,2,0
T003612,2025-07-31 14:25:34,187.77,USD,Online,AE,C4060,Business,3,0
T000950,2025-04-27 19:28:41,210.97,INR,Wire,SG,C3579,Business,3,0
T001532,2025-06-26 20:29:32,42.36,USD,Mobile,DE,C6925,Business,2,0
T008924,2025-06-13 13:46:05,6.29,USD,Mobile,IN,C6809,Business,2,0
T004869,2025-04-25 6:32:55,236.47,INR,POS,DE,C9841,Savings,2,0
T007802,2025-03-29 4:20:57,437.75,INR,Mobile,IN,C8839,Business,0,0
T001695,2025-08-06 5:01:58,26.12,INR,Mobile,IN,C4829,Business,1,0
T004942,2025-03-21 16:17:39,263.49,INR,Mobile,US,C1450,Savings,1,0
T003142,2025-04-18 10:18:05,276.77,INR,ATM,UK,C3449,Business,4,0
T007038,2025-04-30 23:23:58,129.3,INR,Mobile,US,C5659,Savings,1,0
T003729,2025-05-15 1:35:16,127.32,USD,ATM,IN,C8678,Savings,2,0
T005421,2025-07-12 15:31:44,62.26,INR,Online,IN,C1901,Business,0,0
T004688,2025-07-28 23:49:49,295.63,INR,POS,SG,C4203,Savings,1,0
T007683,2025-06-05 19:10:46,38.13,INR,ATM,US,C9145,Savings,1,0
T003165,2025-09-02 1:33:15,100.76,EUR,Online,IN,C1068,Savings,2,0
T003952,2025-05-12 19:19:46,139.27,INR,ATM,IN,C2503,Savings,1,0
T003240,2025-07-26 4:04:17,350.19,INR,Mobile,DE,C1955,Business,4,0
T008125,2025-08-09 21:08:47,101.97,INR,Online,US,C8165,Savings,1,0
T007375,2025-05-07 8:46:58,280.15,GBP,POS,DE,C1572,CreditCard,0,0
T004369,2025-07-27 5:39:36,240.62,INR,Online,US,C1216,Business,3,0
T006666,2025-06-12 19:17:03,153.61,USD,POS,US,C9790,Savings,3,0
T007202,2025-04-11 11:47:03,82.73,INR,Mobile,IN,C5414,Savings,1,0
T004806,2025-07-03 4:02:20,68.83,USD,Online,IN,C3910,Business,0,0
T009567,2025-06-19 19:28:40,502.59,INR,ATM,US,C4058,Business,3,0
T006167,2025-07-01 22:55:04,63.56,EUR,Online,IN,C4783,Business,1,0
T006442,2025-08-14 12:15:18,164.47,EUR,Online,IN,C1606,Business,4,0
T007453,2025-03-18 5:50:16,412.06,USD,ATM,SG,C7038,Business,1,0
T005609,2025-04-09 13:16:58,71.35,INR,POS,IN,C5327,Business,0,0
T008411,2025-04-07 3:32:19,9.15,INR,ATM,US,C4083,Savings,0,0
T008866,2025-07-07 10:07:21,530.57,INR,Mobile,IN,C2571,Savings,2,0
T000605,2025-04-16 7:57:52,123.19,EUR,ATM,IN,C1884,Savings,2,0
T004000,2025-08-12 9:34:45,24.91,INR,ATM,US,C4111,Business,0,0
T000545,2025-05-17 5:49:48,91.98,INR,Online,US,C8101,Savings,2,0
T007874,2025-08-07 10:11:52,141.21,USD,Mobile,AE,C2821,CreditCard,5,0
T005665,2025-08-16 8:00:07,127.38,INR,Online,IN,C1060,Savings,0,0
T002300,2025-07-05 14:39:41,302.07,INR,Mobile,IN,C9177,Savings,0,0
T008780,2025-06-12 0:07:59,212.9,GBP,Online,US,C4359,Business,2,0
T004963,2025-07-24 16:07:49,226.67,INR,Online,IN,C9858,CreditCard,2,0
T001186,2025-04-06 19:28:07,8.88,USD,POS,UK,C9479,Savings,4,0
T007180,2025-06-06 3:16:39,437.2,INR,POS,DE,C9572,Business,2,0
T001194,2025-04-11 9:19:31,482.07,INR,Online,IN,C4147,Business,2,0
T008852,2025-04-04 7:55:02,419.01,INR,Online,IN,C5114,Savings,3,0
T004025,2025-05-26 18:34:34,145.37,GBP,Mobile,US,C5606,Savings,1,0
T001469,2025-08-14 14:51:28,105.7,INR,ATM,SG,C2424,Business,1,0
T009061,2025-06-18 21:52:19,644.08,INR,POS,SG,C2134,CreditCard,2,0
T008422,2025-07-11 20:16:02,11.84,USD,ATM,SG,C2482,Business,5,0
T000815,2025-03-20 23:12:28,191.78,USD,Online,IN,C8003,Savings,1,0
T006301,2025-04-02 4:02:12,243.5,USD,Wire,UK,C1182,Business,4,0
T001803,2025-05-28 3:33:23,216.8,INR,ATM,IN,C7807,Savings,1,0
T000208,2025-07-01 21:35:02,283.32,USD,Online,UK,C3935,CreditCard,1,0
T001405,2025-04-27 10:48:25,51.14,INR,Online,SG,C3540,Business,1,0
T003951,2025-06-09 0:31:11,359.74,INR,ATM,SG,C6349,Savings,3,0
T006805,2025-05-01 18:17:54,325.64,INR,Online,IN,C2269,Business,1,0
T004136,2025-08-30 0:48:46,70.18,INR,Online,AE,C5624,Savings,3,0
T009976,2025-04-03 15:27:28,143.87,INR,Mobile,DE,C6994,CreditCard,3,0
T002633,2025-04-16 0:17:23,190.2,USD,ATM,US,C8779,Savings,2,0
T003603,2025-05-12 12:35:49,13.26,INR,Online,IN,C2108,Savings,0,0
T000541,2025-06-04 8:18:48,2.76,EUR,POS,UK,C2726,Savings,0,0
T006962,2025-06-24 13:34:23,202.84,GBP,POS,IN,C3699,Savings,1,0
T000660,2025-03-24 5:54:22,176.64,INR,POS,US,C1814,Savings,0,0
T004014,2025-04-03 0:00:45,90.53,INR,ATM,IN,C9866,Savings,3,0
T009333,2025-04-14 10:05:53,78.13,INR,Mobile,IN,C9974,Savings,5,0
T001610,2025-03-29 7:25:01,690.82,INR,POS,US,C2652,Business,3,0
T009282,2025-08-20 16:23:08,575.03,INR,Mobile,IN,C6651,CreditCard,3,0
T009993,2025-05-24 9:59:14,23.45,INR,Online,US,C4706,Savings,1,0
T009599,2025-03-29 18:28:51,158.13,INR,Online,DE,C8726,Savings,2,0
T003974,2025-08-06 14:08:44,168.83,GBP,Online,SG,C5044,CreditCard,2,0
T008709,2025-05-13 12:08:55,587.11,GBP,POS,IN,C2644,Savings,2,0
T006391,2025-03-10 21:41:05,143.77,INR,Wire,US,C7183,Savings,4,0
T004251,2025-07-11 14:53:09,179.27,INR,Online,SG,C1847,Savings,2,0
T007248,2025-03-22 22:46:35,161.4,INR,Mobile,DE,C3860,CreditCard,2,0
T002777,2025-05-22 16:22:13,702.83,INR,Wire,IN,C2398,Savings,1,0
T009846,2025-04-07 6:01:26,423.25,GBP,Online,US,C5287,Business,1,0
T007780,2025-05-26 4:12:59,48.4,INR,Online,IN,C9321,Business,2,0
T005312,2025-04-28 15:33:35,208.04,USD,Online,DE,C3287,Savings,1,0
