TransactionID,Timestamp,Amount,Currency,Channel,Location,CustomerID,AccountType,TxFrequency,FraudLabel
T008928,2025-03-07 18:49:59,102.95,INR,Online,IN,C5314,Business,1,0
T005259,2025-04-04 20:16:47,35.53,INR,Online,IN,C6663,Savings,3,0
T000679,2025-04-26 15:35:18,6.82,GBP,Online,US,C7711,Savings,0,0
T009179,2025-04-28 16:49:13,260.94,INR,POS,UK,C4102,CreditCard,2,0
T005348,2025-05-16 19:20:41,1245.14,INR,Online,IN,C1540,Savings,2,0
T003130,2025-05-09 4:38:44,133.88,INR,POS,AE,C8458,Business,3,1
T004162,2025-08-18 10:11:25,165.51,GBP,Online,SG,C8359,Savings,2,1
T009907,2025-04-18 8:12:01,130.44,INR,POS,IN,C7433,Savings,4,0
T006678,2025-04-09 3:48:12,111.78,EUR,Mobile,AE,C7828,Business,1,0
T000830,2025-04-23 9:24:44,259.22,GBP,POS,US,C6805,Business,3,0
T001039,2025-06-06 8:40:28,224.99,GBP,Online,IN,C9156,Savings,2,0
T001914,2025-03-12 15:38:01,5.11,EUR,POS,IN,C3084,Savings,2,0
T009003,2025-08-04 2:13:11,976.63,USD,Online,AE,C1208,CreditCard,4,0
T000535,2025-04-09 10:29:50,526.05,INR,ATM,IN,C6398,Savings,2,0
T000528,2025-05-17 17:51:12,143.64,INR,POS,IN,C5504,Savings,2,0
T005601,2025-07-14 21:05:07,123.39,INR,Online,IN,C1655,Savings,4,0
T001736,2025-06-05 18:37:16,32.88,USD,POS,IN,C1388,Business,1,1
T007749,2025-07-19 5:13:58,519.2,USD,Mobile,IN,C3340,CreditCard,4,0
T007508,2025-07-29 7:14:43,712.09,INR,Online,IN,C8446,CreditCard,2,0
T001771,2025-03-10 9:24:33,289.12,INR,Online,IN,C4479,Savings,0,0
T001226,2025-03-19 14:28:24,158.81,INR,POS,IN,C1572,Savings,8,0
T005790,2025-03-12 9:39:42,542.58,GBP,POS,US,C4534,CreditCard,0,0
T003519,2025-04-16 16:25:55,78.23,INR,ATM,US,C7380,Savings,3,0
T005243,2025-03-19 5:22:53,40.25,INR,Online,IN,C4165,Savings,4,0
T007458,2025-05-26 9:36:46,19.18,INR,Mobile,IN,C5417,Savings,4,0
T002188,2025-03-10 14:08:19,24.15,INR,Mobile,IN,C4378,Savings,4,1
T005953,2025-08-24 21:21:53,254.21,INR,POS,IN,C2988,Savings,2,0
T006912,2025-04-27 19:35:26,52.75,INR,Online,IN,C1836,Savings,1,0
T008203,2025-05-11 8:30:08,119.78,INR,POS,US,C6567,Savings,1,0
T002884,2025-04-10 9:35:10,252.77,INR,Mobile,UK,C2341,CreditCard,1,0
T006008,2025-06-02 2:21:20,202.88,INR,Online,IN,C8310,Savings,1,0
T006736,2025-05-31 22:10:10,55.26,INR,ATM,US,C9129,Savings,2,0
T006577,2025-06-25 14:50:27,389.96,INR,Online,IN,C3425,CreditCard,0,0
T001489,2025-05-24 5:56:04,108.95,USD,Online,IN,C8559,Business,3,1
T004374,2025-06-13 20:10:15,10.49,GBP,POS,IN,C4461,Savings,4,0
T006200,2025-04-08 9:45:28,75.32,USD,ATM,IN,C5265,Savings,0,0
T001986,2025-07-13 10:58:55,248.35,INR,ATM,UK,C2105,Business,4,0
T005866,2025-06-04 6:46:02,18.97,INR,ATM,US,C8350,Savings,1,0
T004615,2025-08-23 14:36:01,426.41,INR,Mobile,IN,C8238,Savings,0,1
T007753,2025-08-07 22:50:22,841.67,INR,Mobile,IN,C3813,Business,2,1
T008534,2025-06-04 20:47:41,328.15,USD,Mobile,DE,C7392,Savings,2,0
T006656,2025-05-15 12:11:31,217.32,USD,POS,IN,C5215,Business,1,1
